,Symbol,Open,High,Low,Close,Volume,Daily Return
2021-12-07,MA,337.3000,342.4200,337.3000,339.51,4939515,1.8540185401854092
2021-12-08,MA,339.2300,344.0250,334.1000,342.34,4226942,0.833554239934009
2021-12-09,MA,340.0500,346.5300,339.0100,344.52,3389627,0.6367938306946375
2021-12-10,MA,347.0000,350.2500,344.8300,349.92,3405910,1.5673981191222763
2021-12-13,MA,349.1900,349.5300,340.3300,345.31,4358322,-1.3174439871970756
2021-12-14,MA,345.3200,348.2100,337.8600,340.55,4518478,-1.3784715183458363
2021-12-15,MA,340.0000,346.5900,335.5300,346.35,4918678,1.7031272940831066
2021-12-16,MA,351.7000,353.7700,345.1200,352.92,5369922,1.8969250757903788
2021-12-17,MA,349.1900,352.7900,344.1200,349.31,5898831,-1.0228947070157535
2021-12-20,MA,341.2400,343.5250,336.2300,337.02,5013898,-3.5183647762732306
2021-12-21,MA,340.3300,352.0000,339.3700,350.74,3105438,4.070975016319522
2021-12-22,MA,346.5800,358.6200,346.5800,357.48,3456400,1.921651365683985
2021-12-23,MA,357.5400,362.4700,355.0000,360.58,2626991,0.8671813807765272
2021-12-27,MA,360.0000,361.0810,355.5953,360.31,2679603,-0.07487936102944515
2021-12-28,MA,358.7900,364.1375,358.4100,360.78,1920249,0.1304432294413127
2021-12-29,MA,361.7800,363.1500,360.1900,361.29,1535298,0.1413603858307244
2021-12-30,MA,362.0000,364.6500,359.1100,360.99,1557977,-0.0830357884248123
2021-12-31,MA,357.9500,363.3800,356.7800,359.32,1974483,-0.46261669298318653
2022-01-03,MA,359.7900,372.3200,359.2500,370.95,4714310,3.236669264165637
2022-01-04,MA,371.9900,382.4000,371.6450,375.39,6854546,1.196926809543064
2022-01-05,MA,374.0000,382.5000,372.5100,373.9,5976597,-0.3969205359759198
2022-01-06,MA,368.6900,374.2150,366.5000,370.0,4781145,-1.0430596416153959
2022-01-07,MA,366.3900,371.7900,364.1100,369.65,4551189,-0.09459459459459918
2022-01-10,MA,370.9100,370.9100,348.7700,363.91,6009380,-1.5528202353577547
2022-01-11,MA,363.5300,368.0600,356.0900,366.29,4130765,0.6540078590860254
2022-01-12,MA,368.9400,372.1200,367.0700,367.31,5783149,0.278467880641009
2022-01-13,MA,368.6100,377.6800,367.8800,369.52,3892898,0.6016716125343713
2022-01-14,MA,364.3200,374.7800,364.1500,372.14,4029901,0.7090279281229739
2022-01-18,MA,370.7900,372.1400,365.2000,366.3,4933026,-1.569301875638196
2022-01-19,MA,362.4100,369.3000,359.7100,360.73,4396093,-1.5206115206115145
2022-01-20,MA,361.8300,373.0721,361.6700,364.0,5043173,0.9064951625869622
2022-01-21,MA,362.5000,368.1300,354.1100,355.08,4867051,-2.450549450549455
2022-01-24,MA,342.5700,350.1000,330.5900,349.42,7474532,-1.594006984341545
2022-01-25,MA,343.3200,347.0400,333.3900,338.76,6994447,-3.0507698471753275
2022-01-26,MA,343.3600,354.7650,341.2500,344.66,7438611,1.7416460030700298
2022-01-27,MA,349.0800,359.6300,334.3300,350.53,8417289,1.7031277200719286
2022-01-28,MA,359.0500,382.7700,355.3800,382.51,8813402,9.123327532593507
2022-01-31,MA,378.6800,386.5500,376.2900,386.38,6345160,1.011738255209016
2022-02-01,MA,385.7600,395.5000,382.4200,392.06,5841117,1.4700553858895349
2022-02-02,MA,389.2900,399.9200,382.7500,396.75,6115014,1.1962454726317295
2022-02-03,MA,388.5400,392.9400,386.4900,390.07,4209203,-1.6836798991808455
2022-02-04,MA,387.5700,388.1500,376.4106,382.2,6045366,-2.017586587022846
2022-02-07,MA,382.2000,382.4000,373.3100,376.13,4767606,-1.588173731030873
2022-02-08,MA,377.5400,379.7699,370.5400,374.37,5825322,-0.46792332438252426
2022-02-09,MA,385.6000,388.4500,380.6000,381.37,5492834,1.8698079440126136
2022-02-10,MA,371.7200,380.0000,370.5582,374.39,3994988,-1.8302435954584806
2022-02-11,MA,377.8600,380.9000,367.6400,369.77,4345551,-1.2340073185715394
2022-02-14,MA,368.8200,377.2900,366.7600,374.16,3678394,1.1872244908997631
2022-02-15,MA,374.5800,383.0700,373.4000,381.54,5800709,1.9724182168056492
2022-02-16,MA,379.9600,385.0000,376.7800,382.93,3424788,0.36431304712480905
2022-02-17,MA,378.6000,381.2900,372.1700,373.7,3972495,-2.4103622071919184
2022-02-18,MA,374.5100,374.8100,369.0000,369.95,4083825,-1.0034787262510059
2022-02-22,MA,365.0000,374.3200,363.7987,368.29,3648744,-0.4487092850385066
2022-02-23,MA,371.9700,373.5599,360.1300,361.23,3802450,-1.9169676070487918
2022-02-24,MA,345.9400,370.5400,341.3149,369.38,7424971,2.2561802729562874
2022-02-25,MA,367.2200,372.5900,361.7000,369.09,3817947,-0.07850993556771657
2022-02-28,MA,362.1900,365.3600,355.6550,360.82,4952437,-2.2406459129209577
2022-03-01,MA,357.8500,361.5800,341.2200,344.48,5894169,-4.528573804112845
